4 4 190 85.8 85.8 10 0.181196928024
4 0 46 288.25 490.7 20 0.375239849091
7 3 78 253.666666667 184.5 30 0.585036993027
9 2 64 261.85 286.4 40 0.793372869492
12 3 56 247.5 190.1 50 0.979420900345
12 0 58 286.416666667 481.0 60 1.26354193687
12 0 106 313.985714286 479.4 70 1.53109407425
13 1 46 323.025 386.3 80 1.76287698746
14 1 51 330.011111111 385.9 90 2.00524306297
15 1 47 335.4 383.9 100 2.26405906677
16 1 27 340.209090909 388.3 110 2.49809598923
17 1 31 343.741666667 382.6 120 2.75919604301
18 1 55 346.707692308 382.3 130 3.01419591904
21 3 26 335.464285714 189.3 140 3.23038291931
21 0 43 345.513333333 486.2 150 3.52810287476
21 0 27 354.28125 485.8 160 3.79497504234
24 3 33 344.247058824 183.7 170 4.04038000107
24 0 25 352.288888889 489.0 180 4.28404903412
25 1 38 353.847368421 381.9 190 4.54221796989
27 2 75 350.435 285.6 200 4.77552914619
28 1 13 352.352380952 390.7 210 4.99930000305
30 2 39 349.3 285.2 220 5.24416589737
31 1 16 351.013043478 388.7 230 5.48537993431
32 1 28 352.4 384.3 240 5.73652887344
33 1 27 353.916 390.3 250 5.96156096458
33 0 14 359.219230769 491.8 260 6.19178295135
33 0 16 364.040740741 489.4 270 6.43488097191
34 1 27 364.807142857 385.5 280 6.68450188637
34 0 29 369.062068966 488.2 290 6.92800688744
36 2 12 366.2 283.2 300 7.18251681328
38 2 17 363.767741935 290.8 310 7.39545679092
41 3 20 358.240625 186.9 320 7.62438488007
41 0 18 362.275757576 491.4 330 7.8571600914
41 0 7 366.085294118 491.8 340 8.14461994171
41 0 32 369.54 487.0 350 8.39416599274
43 2 14 367.219444444 286.0 360 8.63689398766
45 2 18 365.218918919 293.2 370 8.82683706284
45 0 11 368.602631579 493.8 380 9.02705097198
45 0 18 371.812820513 493.8 390 9.22647500038
46 1 12 372.325 392.3 400 9.44009399414
47 1 6 372.853658537 394.0 410 9.63518595695
48 1 26 373.24047619 389.1 420 9.8537709713
48 0 10 376.1 496.2 430 10.0327351093
49 1 25 376.322727273 385.9 440 10.2779102325
49 0 8 378.88 491.4 450 10.4994282722
